"";"classe 1";"classe 2";"classe 3";"classe 4"
"explodir";-6,12;-2,833;-2,501;32,194
"explicar";-1,465;-0,033;5,377;-0,319
"escrever";-1,068;0,574;6,667;-3,458
"dirceu";0,085;-0,001;3,112;-3,458
"desviar";-1,465;12,767;-0,642;-1,582
"crítica";5,19;-2,574;0,016;-1,283
"corte";0,042;-1,283;5,763;-1,724
"constituição";0,544;-1,541;-1,36;1,885
"cofre";-0,335;4,29;0,576;-3,806
"cláudio";-1,068;9,731;0,016;-3,458
"causar";-1,89;0,159;-0,025;1,641
"carvalho";0,909;0,574;0,016;-3,458
"cabral";-0,335;18,697;-2,501;-3,806
"bombardeiro";-5,561;-2,574;-2,273;29,25
"bombardear";-6,12;-2,833;-2,501;32,194
"açougueiro";-0,593;6,535;0,347;-4,155
"atitude";1,092;-3,092;4,339;-1,889
"armado";-1,068;-2,574;-0,476;10,42
"analisar";0,194;-1,08;4,339;-1,889
"aguardar";0,194;-3,092;-0,025;1,641
"agente";-2,876;5,439;0,016;-0,165
"vítima";0,468;-2,833;9,603;-3,806
"tensão";-6,12;-2,833;-2,501;32,194
"sítio";-0,138;0,574;3,112;-3,458
"substituir";0,726;-0,307;-0,188;-0,001
"stj";-1,871;0,106;10,381;-2,763
"soldado";-6,12;-2,833;-2,501;32,194
"setor";7,018;-0,479;-0,322;-3,111
"senhor";2,611;-2,574;3,112;-3,458
"rio";6,654;-0,033;-0,642;-3,806
"renunciar";11,203;-2,315;-0,322;-3,111
"relatório";-1,871;-0,307;-0,188;5,752
"prestar";0,085;-0,668;6,667;-3,458
"preocupado";2,611;-2,574;-2,273;1,097
"prejudicar";2,611;-2,574;-0,476;0,103
"praticar";-1,465;7,965;0,576;-3,806
"pp";-2,876;30,047;-2,273;-3,458
"poupar";3,807;0,019;-2,044;-0,996
"possibilidade";0,909;-0,668;0,016;-0,165
"portal";3,794;-0,869;-2,501;0,017
"popular";5,19;-2,574;-2,273;0,103
"planejar";-3,394;-2,833;-0,642;18,384
"pesquisa";9,441;-2,057;-1,816;-0,723
"palácio";12,98;-0,668;-2,273;-3,458
"pacífico";-6,12;-2,833;-2,501;32,194
"opinião";3,807;-2,315;-0,322;-0,054
"mônica";-5,002;-2,315;40,035;-3,111
"médio";2,536;-2,057;-1,816;0,599
"movimento";-0,138;-0,668;-2,273;6,256
"manifestar";8,646;-2,574;-2,273;-0,165
"magistrado";-3,886;-0,161;21,162;-2,417
"luta";5,19;-2,574;-0,476;-0,165
"limite";0,003;-0,869;0;0,675
"judiciário";-2,367;6,9;1,336;-3,111
"janeiro";0,468;1,743;0;-3,806
"internautas";14,768;-2,833;-2,501;-1,582
"internacional";-0,335;-0,869;-2,501;8,417
"influência";-1,068;2,387;-0,476;0,103
"fundo";0,085;2,387;-2,273;-0,165
"frente";0,085;-0,668;-0,476;1,097
"forte";-1,068;-0,001;0,016;1,097
"figura";-0,335;7,965;0;-3,806
"exemplo";1,571;-0,479;0,086;-0,996
"esposo";7,018;-2,315;-0,322;-0,996
"emprego";14,768;-2,833;-0,642;-3,806
"emitir";-2,367;-2,315;0,086;8,018
"dívida";-2,876;30,047;-2,273;-3,458
"doleiro";-5,561;39,298;-2,273;-3,458
"diretor";-5,002;26,171;-2,044;-0,996
"desembarcar";11,203;-2,315;-2,044;-0,996
"descartar";0,308;-0,479;-2,044;1,69
"delatar";-6,12;4,29;9,603;-3,806
"criança";1,265;0,311;-0,679;-1,033
"centena";0,468;0,324;-2,501;0,017
"caro";20,022;-2,833;-2,501;-3,806
"calheiros";14,536;-2,057;-1,816;-2,763
"branco";0,909;-0,668;-2,273;1,097
"bandido";2,536;0,106;-0,188;-2,763
"alemanha";5,19;-2,574;-2,273;0,103
"zona";-0,152;0,291;-0,08;0,033
"washington";-5,561;-2,574;-2,273;29,25
"via";-0,707;0,936;-0,322;0,285
"verdadeiro";-0,152;-0,161;0,481;0,033
"trocar";-0,394;8,788;-0,188;-2,763
"torno";-1,871;0,106;-0,188;2,516
"testar";-4,443;-2,057;-0,188;16,18
"submarino";-5,002;-0,479;-2,044;19,04
"simples";0,161;0,291;-0,08;-0,471
"setembro";-0,394;1,452;-0,188;-0,001
"santo";-0,02;0,019;4,072;-3,111
"rádio";-0,707;3,229;-0,322;-0,054
"reportagem";-1,871;14,779;-1,816;-0,723
"recente";-0,138;-0,001;-2,273;3,148
"psdb";0,013;0,106;1,944;-2,763
"procurar";0,308;-0,479;4,072;-3,111
"previdência";12,712;-1,799;-1,588;-2,417
"porto";2,611;-2,574;-2,273;1,097
"pinheiro";-3,886;-0,161;21,162;-2,417
"patrício";0,909;-0,001;0,895;-3,458
"particular";-5,002;-2,315;14;0,285
"papel";-1,068;-2,574;6,667;0,103
"olhar";16,362;-2,315;-2,044;-3,111
"ocupar";7,697;-0,161;-1,588;-2,417
"neto";-2,772;0;12,643;-1,724
"mínimo";0,085;2,387;-2,273;-0,165
"manifestação";7,251;-1,026;-0,906;-1,379
"manifestante";16,362;-2,315;-2,044;-3,111
"madrugada";-0,152;-1,799;13,13;-2,417
"linha";-0,152;-0,161;-1,588;3,676
"lembrar";2,534;0,623;-1,36;-2,07
"inteligência";-1,393;-1,799;-0,08;7,757
"inimigo";-5,561;-2,574;-2,273;29,25
"ilegal";-5,561;15,263;-0,476;-0,165
"idade";3,807;-0,479;-2,044;-0,054
"icbm";-5,561;-2,574;-2,273;29,25
"gerar";18,191;-2,574;-2,273;-3,458
"francisco";7,697;-0,161;-1,588;-2,417
"força_tarefa";-0,394;8,788;-0,188;-2,763
"famoso";0,085;0,574;0,016;-1,283
"evento";-0,02;-0,479;0,086;0,285
"escolher";0,544;-0,051;0,889;-2,07
"escapar";-0,138;-0,001;0,895;-0,165
"derrubar";5,19;0,574;-2,273;-3,458
"data";-0,707;-0,479;8,293;-0,996
"contrário";5,44;-2,057;-1,816;-0,001
"controlar";-5,002;3,229;-2,044;4,267
"construir";-5,002;0,936;0,086;1,69
"conselho";0,909;-0,668;-0,476;0,103
"conduzir";-0,707;-0,479;1,336;0,285
"concluir";-0,02;0,019;-0,322;0,285
"comentário";0,308;-2,315;-2,044;4,267
"colega";-0,014;-1,541;9,317;-2,07
"ciro";-0,152;-0,161;7,005;-2,417
"assad";-2,367;-2,315;-2,044;19,04
"agressão";0,909;-2,574;-0,476;1,097
"absolver";-3,886;-1,799;31,103;-2,417
"órgão";1,571;3,229;-2,044;-3,111
"âmbito";-0,707;0,936;4,072;-3,111
"york";-1,871;0,106;0,231;0,599
"vírus";-5,002;0,019;-2,044;12,942
"voo";0,308;-2,315;-2,044;4,267
"volta";1,571;-2,315;0,086;-0,054
"vaccari";-1,871;-2,057;25,501;-2,763
"uso";-0,394;-2,057;-0,188;5,752
"ultrapassar";-2,367;6,9;-2,044;0,285
"twitter";0,726;-0,307;-1,816;0,599
"total";-2,367;6,9;-0,322;-0,054
"tomahawk";-5,002;-2,315;-2,044;26,31
"time";-0,394;-0,307;-1,816;5,752
"terra";1,571;-2,315;-0,322;0,285
"tanque";-3,886;-1,799;-1,588;20,44
"sério";-0,394;-2,057;10,381;-0,723
"sérgio";0,013;8,788;-1,816;-2,763
"secretário";-2,367;-0,479;-2,044;12,942
"saud";-4,443;31,402;-1,816;-2,763
"salvar";4,311;-1,283;-1,133;-0,082
"reunir";0,544;-1,541;-0,012;0,19
"retornar";-2,367;-0,479;0,086;4,267
"repórter";1,422;-0,161;-0,08;-0,471
"repassar";-2,367;11,947;0,086;-3,111
"registrar";-1,393;5,855;0,481;-2,417
"randolfe";5,982;-0,051;-1,36;-2,07
"provocação";-3,886;-1,799;-1,588;20,44
"provar";-0,942;3,256;0,889;-2,07
"pretender";-0,707;0,019;4,072;-0,996
"preste";0,726;-2,057;-0,188;0,599
"prender";-0,014;-1,541;9,317;-2,07
"prazo";-2,367;0,019;8,293;-0,996
"postar";7,018;0,019;-2,044;-3,111
"planalto";1,571;0,936;-0,322;-3,111
"pessoal";-0,02;6,9;-0,322;-3,111
"perguntar";2,536;-0,307;0,231;-2,763
"perceber";3,807;-2,315;-2,044;0,285
"penal";3,807;0,019;-0,322;-3,111
"palestra";0,161;0,291;0,481;-2,417
"obstrução";-0,707;-0,479;14;-3,111
"obra";-1,871;8,788;0,231;-2,763
"noblat";-3,886;0,291;13,13;-2,417
"mudança";-0,707;0,019;-2,044;4,267
"morte";-4,443;-0,307;5,327;0,599
"milhar";0,726;-0,307;-1,816;0,599
"mentira";5,44;-0,307;-0,188;-2,763
"marco";-0,014;-0,051;3,991;-2,07
"lúcio";-5,002;35,348;-2,044;-3,111
"léo";-4,443;0,106;17,106;-2,763
"lixo";9,441;-2,057;-0,188;-2,763
"liberdade";0,726;-0,307;1,944;-2,763
"legislativo";11,203;-0,479;-2,044;-3,111
"legal";1,571;0,019;0,086;-3,111
"kg";5,435;-0,769;-0,679;-1,033
"japonês";-5,002;-2,315;-2,044;26,31
"irã";-3,886;-1,799;-1,588;20,44
"interesse";-1,871;-0,307;-1,816;10,306
"inteiro";7,018;-2,315;-2,044;-0,054
"instalação";-1,393;-1,799;-1,588;13,345
"humberto";0,161;0,291;0,481;-2,417
"hospital";10,889;-1,541;-1,36;-2,07
"guido";-0,152;5,855;-0,08;-2,417
"guardar";-0,707;0,936;0,086;-0,054
"governador";-2,367;26,171;-2,044;-3,111
"golpista";16,362;-2,315;-2,044;-3,111
"gado";-3,329;7,951;-1,36;0,19
"frigorífico";-2,367;26,171;-2,044;-3,111
"fornecer";-4,443;1,452;0,231;0,599
"foguete";-4,443;-2,057;-1,816;23,373
"extremo";-1,393;-1,799;-1,588;13,345
"estudar";5,44;-2,057;0,231;-2,763
"estragado";-1,393;18,491;-1,588;-2,417
"espécie";-0,394;1,452;1,944;-2,763
"esconder";0,161;0,291;-0,08;-0,471
"envolvido";-3,329;23,525;-1,36;-2,07
"empréstimo";-1,871;22,316;-1,816;-2,763
"emissor";-0,02;-2,315;0,086;1,69
"emenda";3,934;0,291;-1,588;-2,417
"desfile";-4,443;-2,057;-1,816;23,373
"daniel";-4,443;22,316;-0,188;-2,763
"dallagnol";1,265;-0,769;0,444;-1,033
"cumprir";-4,443;-2,057;5,327;2,516
"confiar";1,422;-1,799;-1,588;1,101
"confiança";1,571;0,019;-0,322;-0,996
"confessar";-0,707;11,947;-0,322;-3,111
"condenação";0,308;-2,315;8,293;-3,111
"comissão";-0,007;3,969;-0,679;-1,033
"calar";-2,367;18,37;-0,322;-3,111
"beneficiar";-0,394;14,779;-1,816;-2,763
"bancada";1,265;-0,769;0,444;-1,033
"atuar";-0,707;11,947;-0,322;-3,111
"assumir";2,536;-0,307;-1,816;-0,001
"associação";-3,886;0,291;0,481;1,101
"assinar";-2,367;3,229;1,336;-0,996
"assessoria";0,161;2,189;-1,588;-0,471
"apresentador";1,422;-1,799;-1,588;1,101
"aposentado";1,422;0,291;-0,08;-2,417
"andrea";-5,002;0,019;21,193;-3,111
"alma";2,536;-0,307;0,231;-2,763
"alimento";-0,152;0,291;-0,08;0,033
"alexandre";5,982;-1,541;-0,012;-2,07
"alcance";-3,886;-0,161;-1,588;13,345
"afastado";-2,367;11,947;0,086;-3,111
"acrescentar";-5,002;-0,479;-2,044;19,04
"absoluto";0,161;0,291;-0,08;-0,471
"óbvio";2,536;-2,057;-0,188;-0,001
"área";-3,886;2,189;-1,588;3,676
"zé";10,889;-1,541;-1,36;-2,07
"zavascki";-4,443;-2,057;35,567;-2,763
"virar";10,889;-1,541;-1,36;-2,07
"uscifrão";-3,886;5,855;-0,08;0,033
"união";-0,394;4,346;-0,188;-0,723
"troca";1,422;0,291;-0,08;-2,417
"trecho";3,934;-0,161;-0,08;-2,417
"texto";3,934;-0,161;-0,08;-2,417
"terça_feira";-0,394;-2,057;-1,816;10,306
"tentativa";-4,443;-0,307;0,231;5,752
"século";-0,014;-1,541;-1,36;5,336
"suspensão";-4,443;-0,307;17,106;-0,723
"surgir";-0,152;-0,161;-1,588;3,676
"suficiente";0,013;-2,057;-0,188;2,516
"sucesso";-0,014;-1,541;-1,36;5,336
"sinal";-3,886;-1,799;-1,588;20,44
"sigilo";-4,443;-2,057;17,106;-0,001
"sangue";7,697;-1,799;-1,588;-0,471
"rico";7,697;-0,161;-1,588;-2,417
"resultado";5,44;-2,057;-1,816;-0,001
"relato";9,441;-0,307;-1,816;-2,763
"região";-1,871;-2,057;0,231;5,752
"reagir";2,536;-2,057;-1,816;0,599
"publicação";-0,394;0,106;1,944;-0,723
"prédio";0,544;3,256;-1,36;-2,07
"prático";-4,443;1,452;10,381;-2,763
"protocolar";-4,443;-0,307;25,501;-2,763
"presa";-3,886;0,291;13,13;-2,417
"posição";0,013;-0,307;-1,816;2,516
"ponto";2,534;-0,051;-1,36;-0,252
"período";-4,443;14,779;0,231;-2,763
"pergunta";1,422;-1,799;0,481;-0,471
"opção";-3,329;-1,541;-0,012;10,545
"onu";-3,329;-1,541;-1,36;17,51
"ogiva";-4,443;-2,057;-1,816;23,373
"norte_coreana";-4,443;-2,057;-1,816;23,373
"norte_americana";-4,443;-2,057;-1,816;23,373
"nobre";2,536;0,106;-0,188;-2,763
"negócio";-0,152;11,289;-1,588;-2,417
"mãe";0,726;-0,307;-0,188;-0,001
"máximo";-0,152;-0,161;-0,08;1,101
"morto";-3,329;-0,051;-0,012;5,336
"michel";5,982;-0,051;-1,36;-2,07
"merecer";5,44;-0,307;-1,816;-0,723
"macedo";1,265;0,311;-0,679;-1,033
"louco";0,726;-2,057;-1,816;2,516
"lobo";9,069;-1,283;-1,133;-1,724
"livro";5,435;-0,769;-0,679;-1,033
"ligar";-0,014;-0,051;3,991;-2,07
"liderar";-0,942;-1,541;-1,36;10,545
"jurídico";-3,886;2,189;7,005;-2,417
"juntar";-4,443;-0,307;-0,188;10,306
"imprudente";-1,871;-2,057;-1,816;16,18
"impedir";-0,014;-0,051;-1,36;1,885
"imaginar";0,042;-1,283;1,552;-0,082
"ignorar";-1,662;-0,769;-0,679;8,74
"identificar";-3,329;3,256;3,991;-2,07
"hostilizar";5,982;-1,541;-0,012;-2,07
"grampo";-3,886;-0,161;21,162;-2,417
"gonçalves";-3,329;14,707;-0,012;-2,07
"gestão";0,726;4,346;-1,816;-2,763
"geddel";0,726;1,452;-0,188;-2,763
"g20";5,44;-2,057;-1,816;-0,001
"frase";9,441;-2,057;-1,816;-0,723
"filmar";-1,393;5,855;0,481;-2,417
"fhc";-0,014;7,951;-1,36;-2,07
"fechar";0,726;1,452;-1,816;-0,723
"faltar";-0,152;-1,799;13,13;-2,417
"expor";-1,871;-0,307;5,327;-0,001
"exigir";0,726;0,106;-1,816;-0,001
"estimar";-3,329;0,623;-1,36;5,336
"estadão";0,544;-1,541;3,991;-2,07
"específico";0,726;-0,307;-1,816;0,599
"escândalo";1,422;2,189;-1,588;-2,417
"errar";3,934;0,291;-1,588;-2,417
"enfrentar";2,536;-2,057;-1,816;0,599
"eleger";-0,394;1,452;1,944;-2,763
"dúvida";-1,393;0,291;0,481;0,033
"dito";-0,152;5,855;-1,588;-0,471
"dignidade";-1,871;-2,057;0,231;5,752
"diferente";12,712;-1,799;-1,588;-2,417
"dezena";-1,871;-0,307;-0,188;5,752
"detonar";-0,394;-2,057;-1,816;10,306
"determinar";-4,443;-0,307;25,501;-2,763
"daily";-1,871;-2,057;-1,816;16,18
"conversar";-0,152;-0,161;0,481;0,033
"constar";-1,393;2,189;2,789;-2,417
"compor";-0,942;-1,541;9,317;-0,252
"completar";3,934;-1,799;-0,08;-0,471
"comida";5,44;-0,307;-1,816;-0,723
"cogitar";0,013;-0,307;1,944;-0,723
"chorar";0,042;1,19;0,008;-1,724
"central";0,726;-0,307;-1,816;0,599
"carta";-3,886;-0,161;-1,588;13,345
"canal";-0,014;-1,541;-1,36;5,336
"bashar";-4,443;-2,057;-1,816;23,373
"baixo";-1,393;-1,799;0,481;3,676
"avaliar";-0,394;-0,307;-0,188;2,516
"atender";1,302;-1,283;0,008;-0,082
"armar";1,422;-0,161;-1,588;0,033
"aeroporto";9,069;-1,283;-1,133;-1,724
"administração";-1,871;0,106;1,944;-0,001
"índio";2,534;-1,541;-1,36;0,19
"violar";-2,772;-1,283;1,552;3,119
"viajar";0,161;-0,161;-0,08;0,033
"vergonha";5,982;-0,051;-1,36;-2,07
"vazar";-3,329;3,256;3,991;-2,07
"vara";-3,886;2,189;7,005;-2,417
"vantagem";-0,152;11,289;-1,588;-2,417
"uruguai";2,714;-1,026;0,115;-1,379
"unidade";-0,942;-1,541;-0,012;5,336
"turquia";-0,152;-1,799;-1,588;7,757
"tucano";-0,152;0,291;2,789;-2,417
"transformar";-3,329;-0,051;0,889;1,885
"transferir";-3,329;-0,051;16,868;-2,07
"termo";-1,393;-1,799;13,13;-0,471
"tamanho";3,934;-1,799;-0,08;-0,471
"suíço";-0,533;0;5,763;-1,724
"suspender";-3,886;-1,799;7,005;1,101
"sozinho";-3,886;-0,161;-1,588;13,345
"servidor";7,697;-0,161;-1,588;-2,417
"sede";0,161;-1,799;7,005;-2,417
"ruim";3,934;-0,161;-1,588;-0,471
"restringir";-0,197;0,053;0,115;-0,001
"repetir";1,302;-1,283;0,008;-0,082
"reforçar";-1,393;-1,799;-1,588;13,345
"redução";2,534;-0,051;-0,012;-2,07
"recorrer";-0,942;-1,541;16,868;-2,07
"reação";-0,014;-1,541;-0,012;1,885
"qualidade";-2,772;0;5,763;-0,082
"punir";9,069;-1,283;-1,133;-1,724
"pronunciamento";1,265;-0,769;0,444;-1,033
"proibir";-0,152;-1,799;-0,08;3,676
"preocupação";1,422;-0,161;-1,588;0,033
"posto";-3,886;2,189;0,481;0,033
"pm";3,934;-0,161;-0,08;-2,417
"permitir";-0,942;-0,051;-0,012;1,885
"pequeno";-1,393;5,855;-1,588;0,033
"peemedebista";3,934;-0,161;-0,08;-2,417
"paz";-3,886;-1,799;-1,588;20,44
"paranaense";1,302;0;0,008;-1,724
"ouvir";0,042;0;1,552;-1,724
"oposição";12,712;-1,799;-1,588;-2,417
"oliveira";-0,007;0,311;0,444;-1,033
"oferecer";-3,886;5,855;0,481;-0,471
"negativo";-0,942;-1,541;3,991;0,19
"mulher";3,934;-1,799;-0,08;-0,471
"mover";-3,886;-0,161;-0,08;7,757
"modelo";-0,533;0;0,008;0,547
"mg";0,161;2,189;-0,08;-2,417
"membro";0,544;-0,051;-0,012;-0,252
"material";-3,329;7,951;-0,012;-0,252
"marcar";-0,014;-1,541;3,991;-0,252
"maio";-0,152;0,291;2,789;-2,417
"lindbergh";1,265;0,311;-0,679;-1,033
"ligação";-0,014;0,623;0,889;-2,07
"ladrão";10,889;-1,541;-1,36;-2,07
"jon";-3,886;-1,799;-1,588;20,44
"jbs_friboi";-3,329;23,525;-1,36;-2,07
"jair";5,982;-0,051;-1,36;-2,07
"ivanka";-0,014;-1,541;-1,36;5,336
"istoé";-0,152;11,289;-1,588;-2,417
"islâmico";0,161;-1,799;-1,588;3,676
"isis";-3,886;-1,799;-1,588;20,44
"irritar";5,982;-0,051;-1,36;-2,07
"internet";3,934;0,291;-1,588;-2,417
"inquérito";-3,329;-1,541;26,644;-2,07
"iniciar";-1,393;-0,161;0,481;1,101
"indústria";-0,014;7,951;-1,36;-2,07
"impressionante";3,934;-1,799;-1,588;0,033
"impossível";-0,014;-1,541;0,889;0,19
"homicídio";-3,329;14,707;-1,36;-0,252
"guarujá";-3,886;-0,161;21,162;-2,417
"garantir";-0,942;0,623;-0,012;0,19
"função";0,544;-0,051;0,889;-2,07
"frio";-0,014;0,623;-1,36;0,19
"fase";-3,329;-0,051;16,868;-2,07
"executar";-3,329;0,623;-0,012;1,885
"exato";1,422;0,291;-0,08;-2,417
"europa";-3,329;-1,541;-1,36;17,51
"estocar";-3,886;-1,799;13,13;0,033
"errado";1,422;-1,799;-0,08;0,033
"elogiar";0,161;-1,799;-0,08;1,101
"elite";-0,014;-1,541;-1,36;5,336
"eliminar";-3,886;-0,161;-1,588;13,345
"educação";10,889;-1,541;-1,36;-2,07
"domingo";1,302;-1,283;-1,133;0,547
"direção";-3,886;-1,799;-0,08;13,345
"difícil";2,534;-0,051;-1,36;-0,252
"detalhar";-3,886;27,461;-1,588;-2,417
"desenvolvimento";-0,152;-0,161;-1,588;3,676
"desemprego";7,697;-1,799;-0,08;-2,417
"desabafar";3,934;-0,161;-0,08;-2,417
"dente";10,889;-1,541;-1,36;-2,07
"dano";-1,393;-0,161;7,005;-0,471
"curioso";-3,329;14,707;-0,012;-2,07
"cuidado";0,161;-1,799;2,789;-0,471
"criticar";-1,393;0,291;-0,08;1,101
"criminal";0,544;-0,051;0,889;-2,07
"contato";-3,886;-0,161;13,13;-0,471
"conspiração";-0,152;-1,799;0,481;1,101
"conceder";3,934;-0,161;-0,08;-2,417
"comprovar";-1,393;11,289;-1,588;-0,471
"cifrão";-0,014;7,951;-1,36;-2,07
"chico";1,265;0,311;-0,679;-1,033
"celular";0,544;0,623;-0,012;-2,07
"caça";-3,886;-1,799;-1,588;20,44
"carlos";-2,772;10,986;0,008;-1,724
"bndes";-1,393;18,491;-1,588;-2,417
"beneficiário";-3,886;27,461;-1,588;-2,417
"aviso";-3,886;-1,799;-1,588;20,44
"audiência";-0,197;-1,026;8,533;-1,379
"ator";7,697;-0,161;-1,588;-2,417
"ativo";-3,886;0,291;2,789;0,033
"aspa";1,422;-0,161;0,481;-2,417
"armada";-1,393;-1,799;-1,588;13,345
"aprender";7,697;-1,799;-0,08;-2,417
"al_assad";-3,886;-1,799;-1,588;20,44
"advertir";-1,393;-1,799;-1,588;13,345
"adquirir";-3,886;0,291;7,005;-0,471
"aceitar";-3,886;5,855;-0,08;0,033
"abrigo";-0,942;-1,541;-1,36;10,545
"ética";9,069;-1,283;-1,133;-1,724
"visitar";-0,014;0,623;-0,012;-0,252
"vidente";1,302;0;-1,133;-0,082
"vento";-0,942;-1,541;16,868;-2,07
"vencer";1,302;0;-1,133;-0,082
"velho";-0,014;0,623;0,889;-2,07
"vagabundo";9,069;-1,283;-1,133;-1,724
"utilizar";-2,772;-1,283;12,643;-0,082
"urgente";2,714;0,053;-0,906;-1,379
"tráfico";-0,197;0,053;2,658;-1,379
"traçar";0,544;-1,541;3,991;-2,07
"transportar";-3,329;-1,541;-1,36;17,51
"tom";0,362;2,168;-0,906;-1,379
"terrível";-0,533;0;-1,133;3,119
"terrorista";-0,014;-1,541;-1,36;5,336
"televisão";0,544;-0,051;-1,36;0,19
"teixeira";-3,329;-1,541;26,644;-2,07
"sustentar";5,982;-0,051;-1,36;-2,07
"stuckert";-3,329;-0,051;16,868;-2,07
"sonho";0,362;0,053;0,115;-1,379
"sobrevoar";-2,217;-1,026;-0,906;11,66
"sites";2,714;0,053;-0,906;-1,379
"sistêmico";0,544;-1,541;-0,012;0,19
"sentir";0,544;0,623;-1,36;-0,252
"sentido";1,302;-1,283;0,008;-0,082
"secreto";-2,217;-1,026;-0,906;11,66
"rumo";0,544;-1,541;-1,36;1,885
"ronan";-2,772;10,986;0,008;-1,724
"retomar";2,714;-1,026;-0,906;-0,001
"retirar";2,534;-1,541;-1,36;0,19
"respeitar";1,265;-0,769;0,444;-1,033
"residência";-0,533;0;5,763;-1,724
"repasse";-3,329;23,525;-1,36;-2,07
"remédio";2,534;-1,541;-1,36;0,19
"rei";2,714;0,053;-0,906;-1,379
"regra";-2,217;15,665;-0,906;-1,379
"razão";0,042;-1,283;0,008;0,547
"ramo";-2,217;15,665;-0,906;-1,379
"queijo";1,265;-0,769;0,444;-1,033
"quebrar";4,311;-1,283;-1,133;-0,082
"quarta_feira";-0,942;-1,541;9,317;-0,252
"quadro";0,042;4,852;-1,133;-1,724
"punição";2,534;-0,051;-0,012;-2,07
"proteção";-0,197;-1,026;0,115;1,255
"protestar";10,889;-1,541;-1,36;-2,07
"prontidão";-3,329;-1,541;-0,012;10,545
"profissional";-3,329;-1,541;16,868;-0,252
"procuradoria";-0,942;0,623;3,991;-2,07
"privado";2,534;-1,541;0,889;-2,07
"primo";-2,772;4,852;1,552;-1,724
"primeiro_ministro";-3,329;-1,541;-1,36;17,51
"prejuízo";-3,329;7,951;0,889;-2,07
"preciso";2,714;-1,026;-0,906;-0,001
"posicionar";-2,772;0;-1,133;7,798
"portugal";-0,533;-1,283;1,552;0,547
"planilha";-3,329;23,525;-1,36;-2,07
"planeta";-0,533;0;-1,133;3,119
"pha";4,311;0;-1,133;-1,724
"pesado";0,042;-1,283;0,008;0,547
"perrella";-0,533;1,19;1,552;-1,724
"permanecer";0,042;0;0,008;-0,082
"pedra";0,362;2,168;-0,906;-1,379
"parlamento";0,042;-1,283;1,552;-0,082
"papa";2,714;-1,026;0,115;-1,379
"ousar";2,534;-1,541;-1,36;0,19
"nível";0,042;-1,283;-1,133;3,119
"noruega";9,069;-1,283;-1,133;-1,724
"norte_coreanas";-3,329;-1,541;-1,36;17,51
"normal";1,265;-0,769;0,444;-1,033
"necessidade";-0,942;0,623;0,889;-0,252
"naval";-3,329;-1,541;-1,36;17,51
"mp";-0,942;14,707;-1,36;-2,07
"movimentar";-2,772;10,986;-1,133;-0,082
"moscou";-3,329;-1,541;-1,36;17,51
"mortal";-3,329;-1,541;-0,012;10,545
"moeda";0,042;4,852;-1,133;-1,724
"modo";-0,942;0,623;-0,012;0,19
"miúdo";-3,329;23,525;-1,36;-2,07
"mensal";-3,329;14,707;-1,36;-0,252
"menor";0,042;1,19;0,008;-1,724
"marqueteiro";-3,329;-1,541;26,644;-2,07
"marca";-0,942;7,951;-1,36;-0,252
"manipular";-0,942;3,256;-1,36;0,19
"lima";-3,329;3,256;3,991;-2,07
"liberar";-0,942;7,951;-0,012;-2,07
"levantar";0,042;4,852;-1,133;-1,724
"justificar";0,544;-1,541;0,889;-0,252
"jogo";-0,014;0,623;-1,36;0,19
"intervenção";9,069;-1,283;-1,133;-1,724
"interno";1,302;1,19;-1,133;-1,724
"integrante";-2,772;1,19;5,763;-1,724
"independente";5,982;-1,541;-0,012;-2,07
"incomodar";2,534;-0,051;-1,36;-0,252
"importância";0,544;-0,051;-1,36;0,19
"hélio";10,889;-1,541;-1,36;-2,07
"hwasong_12";-2,772;-1,283;-1,133;14,583
"habitante";0,042;0;-1,133;0,547
"habeas";-2,772;-1,283;22,191;-1,724
"gópi";1,265;0,311;-0,679;-1,033
"grosso";-0,942;3,256;0,889;-2,07
"gravar";1,302;1,19;-1,133;-1,724
"gastar";5,982;-1,541;-0,012;-2,07
"fundamental";-0,014;-0,051;-0,012;0,19
"funcionar";-0,014;0,623;0,889;-2,07
"fuga";-3,329;-0,051;16,868;-2,07
"friedman";-3,329;-1,541;-1,36;17,51
"fox";-3,329;-1,541;-1,36;17,51
"fortuna";-0,014;0,623;-1,36;0,19
"finalizar";-0,942;-1,541;0,889;1,885
"fernando";0,042;1,19;0,008;-1,724
"exibir";-2,217;-1,026;-0,906;11,66
"etc";-0,014;0,623;-1,36;0,19
"estrangeiro";-3,329;-0,051;-1,36;10,545
"esquecer";2,534;-0,051;-0,012;-2,07
"esperança";-0,007;0,311;-0,679;0,095
"escalão";0,544;0,623;-1,36;-0,252
"equipamento";-3,329;-1,541;-0,012;10,545
"embaixada";-3,329;-1,541;0,889;5,336
"email";-0,533;-1,283;12,643;-1,724
"dr";-0,014;-0,051;0,889;-0,252
"doar";0,042;4,852;-1,133;-1,724
"divulgação";-0,014;3,256;-0,012;-2,07
"dividir";-0,014;-0,051;-0,012;0,19
"disputa";2,534;0,623;-1,36;-2,07
"dirigir";-0,533;1,19;-1,133;0,547
"df";-0,014;7,951;-1,36;-2,07
"dezembro";-3,329;0,623;3,991;-0,252
"devido";-2,217;0,053;-0,906;5,141
"desrespeitar";1,302;-1,283;1,552;-1,724
"deslocar";-0,942;-1,541;-1,36;10,545
